sample,grid,method,psnr_db,elapsed_s
0,down,nearest,,0.000664
0,down,bilinear,,0.011904
0,down,bicubic,,0.018127
0,down,lanczos,,0.024532
0,down,neural,,0.664857
0,roundtrip,nearest,20.815,0.002567
0,roundtrip,bilinear,23.5634,0.031012
0,roundtrip,bicubic,25.1323,0.041763
0,roundtrip,lanczos,25.3459,0.055389
0,roundtrip,neural,24.208,0.863625
1,down,nearest,,0.000677
1,down,bilinear,,0.011195
1,down,bicubic,,0.017313
1,down,lanczos,,0.024115
1,down,neural,,0.695645
1,roundtrip,nearest,10.8652,0.002206
1,roundtrip,bilinear,11.6758,0.024907
1,roundtrip,bicubic,13.5582,0.037584
1,roundtrip,lanczos,14.5469,0.050396
1,roundtrip,neural,12.003,0.902342
2,down,nearest,,0.000675
2,down,bilinear,,0.011065
2,down,bicubic,,0.017274
2,down,lanczos,,0.02353
2,down,neural,,0.704452
2,roundtrip,nearest,20.348,0.002236
2,roundtrip,bilinear,14.3788,0.024802
2,roundtrip,bicubic,17.17,0.037586
2,roundtrip,lanczos,17.3048,0.049851
2,roundtrip,neural,15.5131,0.912031
3,down,nearest,,0.000635
3,down,bilinear,,0.011112
3,down,bicubic,,0.017499
3,down,lanczos,,0.023734
3,down,neural,,0.697715
3,roundtrip,nearest,20.4502,0.002211
3,roundtrip,bilinear,22.4299,0.024702
3,roundtrip,bicubic,24.1179,0.037825
3,roundtrip,lanczos,24.8191,0.049911
3,roundtrip,neural,23.1876,0.900376
4,down,nearest,,0.000783
4,down,bilinear,,0.011235
4,down,bicubic,,0.017621
4,down,lanczos,,0.023861
4,down,neural,,0.869292
4,roundtrip,nearest,23.4972,0.002392
4,roundtrip,bilinear,25.1824,0.024698
4,roundtrip,bicubic,26.678,0.038294
4,roundtrip,lanczos,26.9982,0.050491
4,roundtrip,neural,24.5019,1.079
5,down,nearest,,0.00065
5,down,bilinear,,0.011099
5,down,bicubic,,0.017312
5,down,lanczos,,0.023541
5,down,neural,,0.729886
5,roundtrip,nearest,23.0079,0.0024
5,roundtrip,bilinear,25.2863,0.024883
5,roundtrip,bicubic,26.5217,0.037665
5,roundtrip,lanczos,26.9546,0.049685
5,roundtrip,neural,25.2889,0.939388
6,down,nearest,,0.000636
6,down,bilinear,,0.011401
6,down,bicubic,,0.018444
6,down,lanczos,,0.024873
6,down,neural,,0.692823
6,roundtrip,nearest,22.8379,0.002404
6,roundtrip,bilinear,25.4107,0.02553
6,roundtrip,bicubic,27.1097,0.039437
6,roundtrip,lanczos,27.7755,0.050993
6,roundtrip,neural,24.7344,0.890212
7,down,nearest,,0.000707
7,down,bilinear,,0.011503
7,down,bicubic,,0.018046
7,down,lanczos,,0.023726
7,down,neural,,0.720578
7,roundtrip,nearest,21.14,0.002296
7,roundtrip,bilinear,23.5423,0.025598
7,roundtrip,bicubic,24.1607,0.039537
7,roundtrip,lanczos,24.3147,0.04988
7,roundtrip,neural,23.6123,0.931043
8,down,nearest,,0.000615
8,down,bilinear,,0.011482
8,down,bicubic,,0.017849
8,down,lanczos,,0.023795
8,down,neural,,0.746856
8,roundtrip,nearest,13.8573,0.002133
8,roundtrip,bilinear,15.8486,0.024958
8,roundtrip,bicubic,17.2778,0.038124
8,roundtrip,lanczos,17.8391,0.050357
8,roundtrip,neural,16.3251,0.957875
9,down,nearest,,0.000633
9,down,bilinear,,0.01108
9,down,bicubic,,0.017642
9,down,lanczos,,0.024266
9,down,neural,,0.74356
9,roundtrip,nearest,20.159,0.002382
9,roundtrip,bilinear,22.4393,0.024605
9,roundtrip,bicubic,23.8603,0.038291
9,roundtrip,lanczos,24.3927,0.050464
9,roundtrip,neural,22.4416,0.951807
